ガラクタ	가라쿠타
我生	가오
結束バンド	결속 밴드
ずっと真夜中でいいのに。	계속 한밤중이면 좋을 텐데。
go!go!vanillas	고!고!바닐라즈
GRANRODEO	그란로데오
GReeeeN	그린
GINTA	긴타
ナナヲアカリ	나나오 아카리
ナナツカゼ	나나츠카제
なるみや	나루미야
ナオト・インティライミ	나오토 인티 레이미
ナツノセ	나츠노세
中森明菜	나카모리 아키나
中島美嘉	나카시마 미카
中島みゆき	나카지마 미유키
なとり	나토리
nyamura	냐무라
ねぐせ。	네구세。
Novelbright	노벨브라이트
乃紫	노아
緑黄色社会	녹황색사회
NICO Touches the Walls	니코 터치 더 월
Nissy	닛시
DUSTCELL	더스트셀
堂村璃羽	도무라 리우
DREAMS COME TRUE	드림스 컴 트루
DISH//	딧슈
RADWIMPS	래드윔프스
ラックライフ	럭 라이프
LUCKY TAPES	럭키 테이프스
レミオロメン	레미오로멘
ReoNa	레오나
Reol	레오루
伶	레이
leina	레이나
ReN	렌
ロス	로스
ロザリーナ	로자리나
ロクデナシ	로쿠데나시
Яu-a	루아
莉犬	리누
りりあ。	리리아。
LiSA	리사
Rin音	린네
マルシィ	마르시
MY FIRST STORY	마이 퍼스트 스토리
My Hair is Bad	마이 헤어 이즈 배드
松田聖子	마츠다 세이코
まつむら かなう	마츠무라 카나우
松原みき	마츠바라 미키
マカロニえんぴつ	마카로니 엔피츠
Mega Shinnosuke	메가 신노스케
まふまふ	마후마후
めいちゃん	메이쨩
MAISONdes	메종 데
mona(CV:夏川椎菜)	모나(CV:나츠카와 시이나)
もさを。	모사오。
紫 今	무라사키 이마
百足 & 韻マン	무카데 & 인만
Myuk	뮤크
美波	미나미
MIMiNARI	미미나리
みさき	미사키
Mrs. GREEN APPLE	미세스 그린 애플
Mr.ふぉるて	미스터 포르테
宮下遊	미야시타 유우
水樹奈々	미즈키 나나
ミテイノハナシ	미테이노하나시
Vaundy	바운디
BAK	바쿠
放課後クライマックスガールズ	방과 후 클라이맥스 걸즈
back number	백 넘버
BUMP OF CHICKEN	범프 오브 치킨
berry meet	베리미
BoA	보아
ぼっちぼろまる	봇치보로마루
BRADIO	브라디오
Brian the Sun	브라이언 더 선
BLUE ENCOUNT	블루 엔카운트
澤野弘之	사와노 히로유키
Saucy Dog	사우시 독
さユり	사유리
斉藤和義	사이토 카즈요시
サザンオールスターズ	사잔 올 스타즈
サカナクション	사카낙션
坂本真綾	사카모토 마아야
さとう。	사토。
相対性理論	상대성이론
新しい学校のリーダーズ	새로운 학교의 리더즈
shallm	샤름
シャイトープ	샤이토프
SEKAI NO OWARI	세카이노 오와리
セカンドバッカー	세컨드 백커
戦慄かなの	센리츠 카나노
Chevon	셰본
そらる	소라루
somei	소메이
Soala	소알라
手がクリームパン	손이 크림빵
Sugar Goose	슈가 구스
SUPER BEAVER	슈퍼 비버
supercell	슈퍼셀
Superfly	슈퍼플라이
菅原圭	스가와라 케이
菅田将暉	스다 마사키
須田景凪	스다 케이나
sumika	스미카
吸う彩度	스우사이도
鈴木鈴木	스즈키스즈키
スキマスイッチ	스키마 스위치
SPYAIR	스파이에어
スピッツ｜Spitz	스핏츠
4na	시나
SIRUP	시럽
清水翔太	시미즈 쇼타
椎名林檎	시이나 링고
SHHis	시즈
SIX LOUNGE	식스 라운지
神聖かまってちゃん	신세이 카맛테쨩
神はサイコロを振らない	신은 주사위를 던지지 않는다
ano	아노
Ado	아도
荒木一仁	아라키 카즈토
あれくん	아레쿤
AliA	아리아
雨宿り	아마야도리
amazarashi	아마자라시
天月-あまつき-	아마츠키
AMUGIRI	아무기리
ASA	아사
杏沙子	아사코
asmi	아스미
ASIAN KUNG-FU GENERATION	아시안 쿵푸 제너레이션
AYANE	아야네
ayaho	아야호
Aogumo	아오구모
アイナ・ジ・エンド	아이나 디 엔드
AiRI	아이리
あいみょん	아이묭
aiko	아이코
Islet	아일렛
AKASAKI	아카사키
秋山黄色	아키야마 키이로
あたらよ	아타라요
安全地帯	안전지대
[Alexandros]	[알렉산드로스]
ALI	알리
THE ALFEE	알피
やなぎなぎ	야나기나기
yama	야마
山猿	야마자루
Yumcha	야무챠
808	야오야
ヤングスキニー	양스키니
アンダーグラフ	언더 그래프
えぬ	에누
Aimer	에메
ACE COLLECTION	에이스 컬렉션
HY	에이치와이
瑛人	에이토
eill	에일
X JAPAN	엑스 재팬
女王蜂	여왕벌
THE ORAL CIGARETTES	오랄 시가렛
織重 夕	오리에 유우
Omoinotake	오모이노타케
オーイシマサヨシ	오오이시 마사요시
大橋ちっぽけ	오오하시 칫포케
尾崎豊	오자키 유타카
音田雅則	오토다 마사노리
